name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
Adria Motorsport Venture,Matteo Valenti,,,,,,
Andretti Global,Dan Towriss,,,,,,
Apex Precision Competizione,Lars Eriksen,,,,,,
Arcane Racing Group,Jasper van der Meer,,,,,,
Astraea Endurance,Eleni Papadakis,,,,,,
Atlantic Racing Union,Liam O'Connor,,,,,,
Bayside Trackside Services,Tommy Sullivan,,,,,,
Blackwood Racing Systems,Marco Bianchi,,,,,,
Brickyard Performance Lab,Alan Foster,,,,,,
Catalyst Motorsports,Adriana Silva,,,,,,
Cavalieri Rosso Group,William Kowalski,,,,,,
Circuitus Legacy Racing,Maria Gonzales,,,,,,
Elysium GT Racing,Alexander Hayes,,,,,,
Exotic Motors Alliance,Robert Harrison,,,,,,
Garnet Motorsport,Amanda Pearson,,,,,,
Golden Gate Racing Group,Jennifer Chen,,,,,,
Gulf Coast Competition,Miguel Rodriguez,,,,,,
Heritage Racing Collective,James Patterson,,,,,,
Ironwood Performance,Olivia Zhang,,,,,,
Kaiser-Wolff Racing,Pieter van Dijk,,,,,,
Lone Star Aero-Sport,Carson Hayes,,,,,,
Maranello Global Partners,David Chen,,,,,,
Nova Aero,Yuki Tanaka,,,,,,
Palmetto State Racing,Travis Coleman,,,,,,
Rennsport Global Division,Pieter van Dijk,,,,,,
Schwarzwald Racing Group,Kristina Novak,,,,,,
Scuderia Corsa International,Anthony Russo,,,,,,
Solari Motorworks,Marcus Thornhill,,,,,,
Stuttgart Performance Engineering,Sebastian Wolff,,,,,,
Summit Peak Motorsports,Rebecca Sawyer,,,,,,
Tridente Global Competizione,Thomas Wright,,,,,,
Vector Dynamics Racing,Pierre Lefèvre,,,,,,
Vitesse Pro-Racing,Jean-Paul Laurent,,,,,,
